,frame,nariz_x,cuello_x,hombroI_x,hombroD_x,codoI_x,codoD_x,manoI_x,manoD_x,caderaI_x,caderaD_x,caderaM_x,rodillaI_x,rodillaD_x,tobilloI_x,tobilloD_x,nariz_y,cuello_y,hombroI_y,hombroD_y,codoI_y,codoD_y,manoI_y,manoD_y,caderaI_y,caderaD_y,caderaM_y,rodillaI_y,rodillaD_y,tobilloI_y,tobilloD_y,angCuelloI,angCuelloD,angCodoI,angCodoD,angHombroI,angHombroD,angCaderaI,angCaderaD,angCaderaTorsoI,angCaderaTorsoD,angRodillaI,angRodillaD
0,0,452.58505,485.7918701171875,527.07605,444.50772,556.69293,429.25052,536.05084,426.55807,510.02386,457.07245,483.54815673828125,506.43396,466.94473,506.43396,468.73972,179.16144,195.34579467773438,199.84145,190.85013,288.85544,260.08325,363.4833,320.325,358.08853,350.89548,354.49200439453125,447.1025,433.61557,531.62085,497.4539,160.23104743271026,19.76892708066754,213.86485153753227,189.8687987190117,245.38184878509043,263.78690237619736,264.57361689059593,284.5416642574062,96.92812408542879,83.07187591457122,182.30944587396505,185.19515981716043
1,1,454.01672,487.250244140625,528.5676,445.93286,557.3102,431.5616,536.6515,426.1724,512.39996,457.60953,485.0047607421875,507.0107,466.59158,507.0107,469.28616,179.72684,195.00498962402344,199.49857,190.51141,289.3701,260.61118,363.96344,321.72385,358.57114,351.38144,354.9762878417969,451.1388,434.06323,532.9219,497.87204,161.51770872081653,18.482291279183464,213.21534152859908,186.54615757461062,246.05782435754327,264.6212013246688,265.8562321974061,283.6756942414335,96.67154766455596,83.32846056903449,183.33195251347266,183.78180243258802
2,2,453.02914,487.09588623046875,527.43805,446.7537,557.9188,432.40982,536.40295,426.13434,512.1977,458.40808,485.3028869628906,507.71515,467.37302,506.8187,468.2695,177.69676,195.23773193359375,199.28566,191.18982,290.1389,259.55463,364.80045,321.62265,358.5037,350.40787,354.4557800292969,450.25647,434.96432,533.0139,498.83148,158.48592882806398,21.51409693276007,214.6221829127033,186.07618591820037,245.72379730792406,263.88029291769084,264.23764741403335,284.6113557186351,97.91409335522951,82.08590664477049,182.1761888832581,185.2478478964179
3,3,454.67166,488.2647399902344,528.1285,448.401,558.5861,433.17215,537.0866,426.90143,512.89966,458.2549,485.5772705078125,507.52472,468.10892,506.6289,469.0047,180.55663,195.382080078125,199.42538,191.33876,293.76913,260.52417,365.6501,320.7245,358.462,350.3754,354.418701171875,451.00873,434.83554,533.6719,498.62988,161.97854577143286,18.021432520577587,214.54385430330157,186.46702300288683,246.31641071445375,263.37783302853427,264.90607296956205,285.07247241441206,97.44970703421103,82.55028369825686,182.7029057512928,185.85018861894298
4,4,453.38837,488.02691650390625,528.9634,447.09048,558.65356,433.59494,537.9603,426.39734,510.96933,458.78662,484.87799072265625,507.3705,467.7836,507.3705,468.68332,180.41032,195.23834228515625,199.28235,191.19434,294.54114,260.39175,365.5359,320.60254,359.24524,350.25854,354.75189208984375,452.70667,433.83466,534.4855,498.53873,162.46706980345047,17.53292601779832,213.5612906100602,184.21909846400894,247.0470335248816,264.6059573037691,262.4337325426213,285.9156276939912,98.6404856008959,81.359525607831,182.20513522496063,185.34763696019178
5,5,454.39856,488.90155029296875,529.6778,448.12527,559.2518,433.78638,537.74347,427.51312,512.6504,459.77563,486.2130126953125,506.37708,467.84128,506.37708,468.73746,181.47916,196.31455993652344,199.46146,193.16766,295.66675,260.60126,365.7977,320.84198,362.20123,355.90744,359.0543212890625,451.21362,434.13043,534.8313,500.66492,161.14657193289915,18.853431356839458,214.13781321752265,186.05928803019376,248.49927831418404,262.4086097567032,267.24323195239606,282.67508007893804,95.84166269649447,84.15840251800142,184.03133656372526,185.11531490576297
6,6,455.10593,488.3425598144531,528.7655,447.91962,559.3073,434.44528,537.7484,428.15726,511.69806,458.69904,485.19854736328125,506.30832,466.78366,506.30832,468.5802,183.24838,197.64175415039062,201.24008,194.04341,297.4957,261.5123,366.76376,321.7845,360.46667,355.96875,358.21771240234375,452.22437,435.13223,534.98615,502.6011,161.67150501801027,18.328473524102296,214.89234421513396,185.33807469535378,247.30893234227867,263.7928538575467,268.51066690349836,280.68211330344394,93.72927308202127,86.27072691797875,183.36162285522718,184.3058828476031
7,7,455.10513,489.13079833984375,529.4243,448.83725,559.8684,433.61523,538.3785,429.1382,512.4115,458.6868,485.54913330078125,507.03906,467.64093,506.14362,467.64093,184.97983,198.91734313964844,202.06453,195.77016,298.27844,264.109,368.41568,321.65753,363.9197,357.62534,360.77252197265625,452.94006,435.85535,533.8676,500.5974,162.1912309800693,17.808772388791184,214.59342781629752,188.1088638755745,247.97543507960958,261.908852991921,266.7713567319768,283.2119039009565,95.41461053019906,84.58538194688231,182.8195927030733,186.5296011960625
8,8,455.2094,489.3540344238281,529.78845,448.91962,559.44037,433.64438,538.7739,430.0502,512.7162,459.70212,486.20916748046875,507.3249,467.789,506.42636,468.68756,186.49179,198.17578125,199.97331,196.37825,298.83786,264.68463,369.84058,322.20584,364.44797,358.1566,361.3022766113281,452.52728,435.45068,533.41644,500.16202,163.65493824078212,16.345061759217877,212.9237470925529,189.03010613044748,250.7592822589741,259.9398798574723,266.7348201440968,282.7406845753783,95.66340808701865,84.33659963254513,182.86628387623952,185.17729204229167
9,9,454.5718,489.20111083984375,529.2272,449.17502,560.70844,434.78363,540.02075,429.38684,513.93634,459.9686,486.95245361328125,507.6401,467.16428,504.9417,468.96323,189.05748,199.84552001953125,200.74454,198.94652,300.534,265.47284,370.6563,323.0091,366.1613,359.86826,363.0147705078125,453.3647,436.2836,533.37604,499.2139,163.98335443288286,16.01666837915984,213.94654060000562,186.84790167176342,251.20402983321338,259.0801796727484,267.47862439046133,282.0304851429241,95.86151155983134,84.13848098549654,182.19793620557542,183.74203707124022
10,10,455.25092,488.84423828125,528.7084,448.98013,560.958,434.64697,540.354,429.27206,513.4794,459.73,486.60467529296875,507.2086,466.89658,505.41693,469.58405,188.76044,200.00970458984375,201.35962,198.65977,300.35303,265.25537,370.54837,321.9516,366.9486,359.74908,363.3488464355469,454.24283,436.24402,532.53766,499.23984,163.42550377264507,16.57447283776111,214.4025650101307,186.73073660674103,250.01619687029626,259.79317909038195,266.4796467621828,282.98138221030564,96.843598989885,83.15639244886792,182.79792734302603,182.90946433217235
11,11,457.15594,490.83636474609375,530.8038,450.86893,562.23883,435.6005,541.58154,430.2116,516.4335,459.85037,488.14190673828125,506.5539,466.1374,502.96127,467.9337,188.38971,203.21243286132812,204.55995,201.86491,299.78476,265.64755,371.65253,321.3451,364.46576,356.3806,360.4231872558594,453.40213,436.33356,536.05005,498.31952,158.17676860188755,21.823232871448745,214.30527579559302,187.93592348578977,249.80018988840254,258.4687574338975,268.2068376030483,282.62808051339886,97.15002346305246,82.84996788250493,183.84969451293796,182.83613542124309
12,12,461.0104,491.0428466796875,533.62616,448.45953,567.6928,432.3227,547.97003,426.04727,520.1788,460.1139,490.1463317871094,511.21387,465.49286,507.6279,469.07883,193.89676,206.48419189453125,208.2824,204.68599,302.68805,269.4213,371.91888,326.96384,371.91888,363.82697,367.8729248046875,460.03085,437.5533,536.45447,495.0958,159.67812573018296,20.321874269817062,215.74360435177098,187.77314641749004,247.7397800975428,258.4209437982048,268.1368655661119,281.84549440088233,97.35439619545392,82.6456038045461,183.12311264941033,180.60684363842097
13,13,465.32047,496.2084045410156,539.63055,452.78625,574.5474,433.08957,554.8507,424.13657,523.51514,461.7393,492.627197265625,513.6669,459.94867,507.3997,468.0064,194.19054,204.98062133789062,207.67815,202.2831,301.19232,267.02368,369.52957,326.3692,368.63037,360.5378,364.5841064453125,454.05197,434.2701,534.9777,495.414,164.29898980429724,15.701010195702766,216.55337791938936,188.34279785464744,245.97024844881543,256.6329650507866,269.11345422131564,276.0720322063396,96.1777516893227,83.82218536635771,182.1481304661477,188.89857034741138
14,14,472.99005,498.972412109375,544.6656,453.27927,581.39923,432.67255,566.1682,422.8172,526.7467,460.44684,493.5967712402344,515.0994,442.52795,509.7238,464.03058,195.45226,207.59788513183594,211.64642,203.54935,302.51382,269.22574,373.58826,336.7015,364.5915,355.59473,360.0931091308594,456.35852,424.86984,535.5301,492.34558,160.00928277628688,19.99071385958568,214.10664023415072,189.11011496638503,242.92537140171578,257.64349368576814,269.5057077233928,263.22530582986917,95.70881636528237,84.29118363471763,183.3491372694244,212.17804069934922
15,15,475.65973,498.5268249511719,544.7094,452.34424,583.2696,430.82227,573.40533,420.06128,524.9809,458.6215,491.80120849609375,516.91016,444.2735,507.9427,455.93124,197.4237,208.66983032226562,212.71843,204.62123,301.78778,271.19833,377.3618,342.27386,368.36487,361.16733,364.76611328125,457.4342,443.93887,535.7073,520.4126,158.82189594872565,21.178104051274357,210.84536150925302,189.30484365962207,241.58106647115898,257.0958834454588,268.98728917418066,266.35611149543513,93.72311097991584,86.27684258350071,178.641890194391,198.5016797166659
16,16,473.40558,497.6741027832031,543.5146,451.83362,582.1644,431.16046,574.9737,421.2733,524.6391,457.2266,490.932861328125,515.65076,446.4406,508.46008,450.03595,198.81123,209.59140014648438,214.98148,204.20131,301.22275,269.7806,375.78546,341.64832,374.88718,366.802,370.8446044921875,465.62012,456.63666,540.1829,532.0978,162.75526744105215,17.244713747157444,209.64849380061335,189.66363349672284,239.1537791257223,259.20936476340387,268.8183483815637,269.99273728389295,94.44525180156636,85.55470319207109,180.1493575678135,189.5741989997307
17,17,470.32324,493.6358642578125,540.26117,447.0106,579.7134,425.4912,572.5402,418.31808,524.1217,455.977,490.0493469238281,516.0519,444.32065,507.98215,435.35428,200.09459,212.67364501953125,218.06468,207.28262,301.62567,277.36606,378.89716,346.55096,378.89716,369.9121,374.4046325683594,468.7477,464.2552,540.62805,554.10565,158.24504844098587,21.75496578358365,210.57731756546505,191.15003292427937,238.13076580367158,259.52620745171424,267.62092406820045,270.46790682940167,96.24088729726368,83.75911270273632,178.7266665023692,181.3443538046206
18,18,465.14716,486.73431396484375,532.607,440.86163,576.6808,419.27448,570.3846,415.6766,520.0145,455.25305,487.6337890625,512.8188,443.56,508.32147,433.6659,201.24321,213.37374877929688,218.31584,208.43167,301.88187,283.01212,378.2594,353.9983,379.158,372.86804,376.01300048828125,468.11536,469.91248,541.79724,559.7684,156.81596923977307,23.18404960005108,212.52026049752357,193.2414778292723,236.04321690935208,260.00604527467783,269.07710279147875,268.6768691843972,95.86434070249626,84.13571279190923,181.1319349214332,180.58684484453116
19,19,453.54675,475.5526123046875,522.70807,428.39716,567.61804,414.9242,561.3306,409.535,511.9297,446.36115,479.1454162597656,509.23508,438.27734,505.6423,431.98996,203.71678,214.51568603515625,216.31549,212.71587,303.60663,285.60846,378.29904,358.50104,386.39822,377.39914,381.898681640625,471.88953,477.28897,547.4819,567.2798,156.04726704743985,23.952714439485952,212.03680604769173,186.2435938547574,240.58909089017402,261.71382250463284,263.9904661562896,273.188145462359,99.04448849932169,80.95551150067833,179.084213245041,180.63024386651742
20,20,443.47662,466.77783203125,513.38025,420.1754,557.29407,401.3552,546.5397,401.3552,503.52206,440.78802,472.155029296875,507.10687,434.51462,506.21066,431.82602,204.85843,218.78675842285156,221.93187,215.64165,305.50192,286.63126,386.37616,360.31668,388.17337,381.88315,385.02825927734375,471.74335,478.93222,543.63165,568.79254,152.99200199537202,27.007998004627993,215.2952843950297,194.84823885038276,238.4183471758887,259.01269014803364,261.81795417481885,272.0272588115807,97.57842421125474,82.42157025501845,183.17045952073687,181.98484796384938
21,21,437.49167,462.61663818359375,510.1747,415.0586,551.45154,398.00946,537.0944,395.3175,498.50958,433.90237,466.20599365234375,504.7908,430.31308,506.58545,431.2104,204.17213,218.11866760253906,221.26788,214.96945,310.34576,286.0518,388.62634,361.63306,388.62634,385.927,387.27667236328125,473.20532,482.20312,540.6886,567.6819,154.75443249776075,25.245565078272328,215.2549043166566,191.44781551171357,241.3494798710945,260.3008679035883,263.3602786021242,270.25740130925044,93.60804707329645,86.39195518427242,182.72390175280142,182.73637367822587
22,22,433.0821,459.5531005859375,507.55975,411.54642,548.8365,394.49728,531.7874,391.80533,495.8946,430.39014,463.1423645019531,503.9705,426.80087,505.7651,429.49283,205.48134,218.50857543945312,222.5515,214.46564,312.39453,284.5432,391.45636,363.605,391.45636,388.76108,390.10870361328125,478.6041,481.29938,541.4942,568.4471,158.61056954684364,21.38941541586584,216.84460352522038,191.72370051266873,240.5105943165975,261.1400651685441,262.34935535117177,270.13496145248547,93.55446992362157,86.44558337269517,183.65997917855168,183.9904237305969
23,23,431.1304,457.5793151855469,506.44254,408.7161,546.78827,392.5778,529.7534,390.78464,493.8905,428.4407,461.16558837890625,503.7528,424.8544,507.33905,426.64755,207.75684,221.69024658203125,222.13972,221.24078,313.8306,294.05417,392.03757,366.86752,392.9365,391.13864,392.0375671386719,478.33493,485.52637,545.7547,568.2279,152.7465619174981,27.25345597305929,216.03850459937547,191.08626627818813,245.7225584883529,258.03003854803995,261.8388643711564,269.3975404379446,92.77952444896093,87.22047408443692,183.54275947201592,183.41804021777148
24,24,429.9766,458.7152404785156,508.10977,409.3207,545.8292,389.5629,530.5618,388.6648,494.63855,429.07852,461.8585205078125,504.51743,423.69003,505.4155,427.28238,211.12099,225.50225830078125,227.29993,223.7046,316.2841,301.00397,390.88693,369.31503,393.58344,390.88693,392.23516845703125,476.27576,482.5676,546.38446,560.7658,155.50020334182904,24.49981433437409,214.53740660472508,193.58466751430873,244.94411426422062,257.74639765287117,260.83213159754825,268.99157531853825,93.43531259922422,86.56473846174906,186.07867210705825,185.9939777613501
25,25,430.03845,458.7137756347656,507.9995,409.42804,545.6359,389.71375,530.40216,388.81766,494.55792,428.24622,461.4020690917969,505.31122,423.76572,505.31122,427.35013,210.9913,225.38735961914062,227.18687,223.58786,316.2626,300.96677,390.9422,369.3481,393.6415,390.04245,391.84197998046875,475.51913,481.81744,546.5998,560.99585,155.43272927144326,24.56728844362703,214.4345849369597,193.54271649242654,245.00384755766675,257.79752510397793,259.41127866605837,270.3116852755044,94.03193763590028,85.96806236409974,187.4820437550641,185.3869925101894
26,26,430.01654,457.83465576171875,507.18942,408.47992,543.08374,388.73804,529.62335,387.84067,495.52377,428.2218,461.872802734375,505.39468,426.4271,506.29205,430.01654,212.20935,225.7061309814453,228.40549,223.00677,316.58438,295.88934,392.16635,370.5715,391.26657,389.46698,390.36676025390625,472.2472,482.14484,542.43036,568.5242,157.24884155294765,22.75115651518296,212.24732613828985,194.467715351343,244.72005256733297,257.9743983968548,261.5186744835619,270.4222482037095,92.93654012443073,87.06351318752186,186.21703807926437,183.48901954362626
27,27,429.95422,456.3885498046875,506.12088,406.6562,542.8601,388.7346,527.6268,386.94247,495.36792,428.16208,461.7650146484375,506.12088,428.16208,507.91302,431.74637,213.55423,226.59619140625,229.74425,223.44812,319.68875,295.40372,394.34265,368.25873,393.4432,387.1471,390.295166015625,474.39325,485.18655,542.7511,573.33215,157.3615392611591,22.638445446283377,213.75136111428333,192.57672283811164,244.15968993903232,259.6362085622551,257.0813864795996,275.35209985889617,97.23317699692468,82.76677625321905,186.06479316266478,177.67140227560222
28,28,429.90845,455.9755859375,506.3121,405.63907,540.469,383.16742,523.39056,382.26855,493.72797,427.21185,460.46990966796875,505.4132,426.313,506.3121,429.00958,216.48854,226.3787841796875,230.87436,221.88322,320.7857,293.81232,396.31122,370.23694,390.91653,389.11832,390.0174255371094,470.0385,479.02966,540.1694,571.6383,164.32611058967728,15.673906641272122,213.54342283519148,196.6756969439547,244.09488673509753,257.7540208541615,260.0503444538945,270.9757949400327,93.12180419306114,86.87819580693886,187.6667457305996,182.240624887888
