,frame,nariz_x,cuello_x,hombroI_x,hombroD_x,codoI_x,codoD_x,manoI_x,manoD_x,caderaI_x,caderaD_x,caderaM_x,rodillaI_x,rodillaD_x,tobilloI_x,tobilloD_x,nariz_y,cuello_y,hombroI_y,hombroD_y,codoI_y,codoD_y,manoI_y,manoD_y,caderaI_y,caderaD_y,caderaM_y,rodillaI_y,rodillaD_y,tobilloI_y,tobilloD_y,angCuelloI,angCuelloD,angCodoI,angCodoD,angHombroI,angHombroD,angCaderaI,angCaderaD,angCaderaTorsoI,angCaderaTorsoD,angRodillaI,angRodillaD
0,0,464.45328,494.0908203125,538.09814,450.08353,575.8187,441.10242,556.06036,435.71378,517.44165,464.45328,490.94744873046875,514.7474,473.43436,519.23785,470.74005,173.36768,197.19854736328125,204.8424,189.55467,277.6839,261.49692,348.72687,321.74854,360.41748,351.42468,355.92108154296875,448.54672,431.46045,535.7767,493.51062,151.05172280512252,28.94825121108531,222.91938743340805,182.00495604076588,232.76916934818973,272.737852404298,262.1190549541328,286.03461596155597,98.49749001051615,81.50249910257982,184.69799034747518,188.8888441580333
1,1,463.60577,495.0152282714844,538.09106,451.9394,574.885,440.273,556.9367,436.68338,518.34796,463.60577,490.97686767578125,515.65576,472.5799,519.2454,470.78506,173.762,196.67176818847656,204.30836,189.03517,277.979,260.90897,348.05597,321.10327,359.73547,350.75122,355.24334716796875,448.6793,431.60925,535.8263,492.70197,153.9464173658038,26.05358263419622,220.90524660944132,185.8069808422535,233.40760466964488,270.833389961339,262.4134716206774,285.6533775871626,97.86141578614398,82.13858421385603,184.09242577566187,188.01591866134896
2,2,464.01215,494.94744873046875,538.4363,451.45865,576.0967,439.80185,556.3698,435.31848,517.81274,464.01215,490.9124450683594,515.1227,472.9789,519.6061,470.28885,173.70477,197.541748046875,205.18756,189.89594,278.04776,260.9571,349.10895,321.22418,359.90305,350.90796,355.405517578125,448.0549,431.86374,535.3072,493.9298,152.35553248396755,27.644460659245325,222.84866765474175,185.06120614715815,232.6948777946132,270.65555646118935,262.2562757057371,285.8120883000295,98.02746970024884,81.97246706699512,184.68938430912098,188.80211441595245
3,3,464.37595,495.36383056640625,538.9266,451.80112,575.7528,440.1245,555.99243,435.63348,518.26794,464.37595,491.32196044921875,514.6752,473.3579,519.16614,470.66333,174.45789,198.27920532226562,205.92001,190.63841,277.83344,261.65292,348.84796,320.9815,359.63498,354.2415,356.938232421875,447.7289,432.44733,535.8229,493.57373,152.39779176557388,27.60222087450806,222.66624696238904,185.00851806790067,232.93505196379522,270.6109997109709,266.62030861163635,282.2668399133778,94.25581044847608,85.74419598130318,185.2538584628875,189.07586839788658
4,4,464.05716,494.56915283203125,537.6449,451.49338,575.3362,439.82703,557.388,436.23737,518.79926,463.15976,490.9794921875,516.10706,473.03122,518.79926,471.23642,174.0261,198.3214111328125,205.52002,191.1228,278.40598,262.2091,349.49228,321.59766,360.2902,352.19177,356.240966796875,449.37302,433.17615,535.7564,494.36432,150.9585986278861,29.0414079713382,221.51484099286498,185.86106228010163,233.1679805350267,270.16728116598335,263.4496602876456,285.23100701244147,96.97920327089174,83.02084931881987,183.5160261116045,188.62980240357138
5,5,464.24103,495.2437744140625,538.82733,451.6602,575.6712,439.978,556.8,435.48483,519.0575,464.24103,491.6492614746094,515.463,473.22733,519.0575,471.43002,176.55638,197.6982879638672,205.34535,190.05122,278.21744,262.02365,349.29022,320.50125,360.0861,355.58783,357.83697509765625,448.25232,432.9582,535.51886,494.13477,155.66017294578086,24.33983388316319,221.69103255269462,184.82583782835948,233.2273182036995,270.7321259382452,267.6434495875358,281.31625564838043,93.40531149239014,86.59462513859529,184.6932775169479,188.30777264458362
6,6,464.41296,495.83636474609375,539.8291,451.8436,576.63934,441.06985,556.8875,440.17206,517.38385,464.41296,490.8984069824219,515.5882,473.39108,518.2816,470.69763,176.91597,197.130615234375,204.76724,189.49397,277.53992,262.26666,348.51575,347.61734,362.8906,356.60162,359.74609375,449.13974,432.96802,535.3888,493.16275,157.09460922142094,22.90537818457685,222.3827531306985,187.81858083584896,233.32081995563556,271.4264913515165,264.42190801768,283.47599433412904,95.03148190880773,84.96858319202443,182.98137256375423,189.267277619187
7,7,465.44788,495.51348876953125,539.0413,451.98566,576.7355,440.3184,556.99084,434.93353,517.5018,464.5504,491.0260925292969,515.7068,473.52518,519.2967,471.73026,178.20535,197.980224609375,205.1711,190.78937,277.9786,261.79913,348.98834,316.62946,363.3701,357.07806,360.22406005859375,449.6604,432.58212,535.0519,493.70447,156.04676041671453,23.95325913486957,222.91053550824373,183.72151918297348,233.24770605095057,270.0499948188793,264.41516328520817,283.5550848845656,95.1922104661585,84.80785465713903,183.59902657039848,188.4606732593435
8,8,465.33157,495.34393310546875,538.7947,451.89316,576.4221,440.24658,556.7125,434.87122,519.085,465.33157,492.20831298828125,516.39734,473.39456,519.085,471.60278,178.24652,198.9229278564453,206.11472,191.73114,278.0326,262.75006,349.0515,319.38538,361.63715,357.14224,359.38970947265625,449.73654,432.65604,535.13904,493.78622,154.834044808276,25.16596167474092,223.12927914660256,183.8913859876317,232.9832738517892,270.084964657771,266.96743704733234,280.8746922571131,93.66051328568655,86.3394275110831,183.54989018950943,187.77356988921858
9,9,463.70197,494.61871337890625,538.08136,451.15607,576.61523,440.40244,556.90027,438.61014,518.36633,464.5981,491.48223876953125,515.6779,474.45566,519.26245,471.7672,178.63736,197.9665985107422,205.60838,190.32481,278.43015,263.14655,349.45386,344.95868,361.1413,356.64615,358.89373779296875,449.24664,433.06406,535.55396,494.19836,157.95831851611888,22.04168148388112,223.39944044903322,187.14517882519905,232.14223802972646,271.57186317179793,266.96884383087104,282.12926665429467,93.6623620751915,86.33757873647016,184.12607128751335,189.86834792652647
