,frame,nariz_x,cuello_x,hombroI_x,hombroD_x,codoI_x,codoD_x,manoI_x,manoD_x,caderaI_x,caderaD_x,caderaM_x,rodillaI_x,rodillaD_x,tobilloI_x,tobilloD_x,nariz_y,cuello_y,hombroI_y,hombroD_y,codoI_y,codoD_y,manoI_y,manoD_y,caderaI_y,caderaD_y,caderaM_y,rodillaI_y,rodillaD_y,tobilloI_y,tobilloD_y,angCuelloI,angCuelloD,angCodoI,angCodoD,angHombroI,angHombroD,angCaderaI,angCaderaD,angCaderaTorsoI,angCaderaTorsoD,angRodillaI,angRodillaD
0,0,449.7286,482.8606872558594,524.05194,441.66943,565.24316,435.4012,545.543,430.02844,502.56088,452.41498,477.4879150390625,498.97903,464.95145,499.87448,461.3696,181.31123,199.278076171875,207.36316,191.19301,281.9256,262.16208,350.19965,308.8759,366.3698,358.28473,362.3272705078125,452.6107,434.64386,528.96985,499.32452,162.6348670686254,17.36515336851664,225.01322290461047,178.48638044736813,229.97708619336146,276.0574574770675,263.2192639361727,288.4825638774239,97.27171954169455,82.72826949930904,183.05011158756125,192.4931623038057
1,1,449.67834,482.91485595703125,524.2359,441.59378,565.55695,435.30576,545.79474,426.32294,502.6771,452.37317,477.525146484375,499.08398,464.94913,499.98227,461.35602,180.20903,198.63377380371094,207.17207,190.09547,280.87106,262.8957,349.17743,307.8341,365.3553,357.26636,361.3108215332031,451.63702,433.66168,528.9311,497.4742,162.6729936172369,17.327014768533132,225.41423697116028,173.6326157967253,229.04692120628482,276.7382927657774,263.24960994772465,288.48303437278867,97.23744058568525,82.76257031121834,183.05049407815477,192.57079423391207
2,2,449.5507,482.6937255859375,523.8986,441.48886,565.10345,437.90582,546.2926,426.26096,502.40042,453.13373,477.76708984375,498.81738,464.77856,499.71313,461.19553,180.94394,199.3599853515625,206.9959,191.72406,281.55835,264.48987,349.83243,307.61032,366.0026,358.81586,362.40924072265625,452.2435,434.27667,529.50104,497.16068,161.43980640769843,18.560165476486283,224.32991711966406,167.70651144639046,230.5753026827411,277.67972290404487,264.0796861109948,287.0719429411329,96.56870386568741,83.4312367698378,183.04336336066126,192.03355887455552
3,3,449.81256,483.93682861328125,525.2451,442.6285,564.75745,437.24048,545.8993,428.2604,502.79498,452.5066,477.6507873535156,499.2029,465.07867,499.2029,461.48666,180.8474,198.84059143066406,206.03787,191.64331,280.70963,264.51572,349.9834,308.5991,366.17728,358.08035,362.1288146972656,452.54462,434.55142,529.9153,496.62793,162.08163567227496,17.91837148550924,223.11382925869998,172.71462471189724,232.23096477441723,275.6549774386575,263.23491320723224,288.48277127359904,96.9420771406978,83.0579228593022,182.3815453508437,192.6477704658581
4,4,449.94748,483.5748596191406,525.2728,441.8769,565.6257,437.39325,546.7943,425.73575,502.85458,452.63766,477.7461242675781,499.2676,465.19186,500.16437,462.5017,180.49811,199.39697265625,205.69658,193.09735,280.39203,263.29306,348.78784,307.39038,364.98685,356.88733,360.93707275390625,451.38156,433.38266,527.8769,496.3788,159.25476373020177,20.7452157710773,223.77310643814627,168.84683884908077,233.02957273209904,274.9364150013631,263.2150696816615,288.4824661507631,97.0959314506232,82.90413642269205,183.04915536107742,191.76539198736248
5,5,450.4799,484.6424560546875,526.8962,442.38876,564.65485,432.4996,546.6745,423.50943,503.5218,454.97498,479.2483825683594,499.92572,465.76315,499.92572,462.1671,181.77107,198.4089813232422,206.95277,189.86519,278.90048,260.0142,347.2508,302.28348,364.33838,360.741,362.5396728515625,451.57498,431.78937,531.61676,498.34097,165.4641171784683,14.535874782741502,222.42922573781127,176.0171441190035,230.87799215240236,273.4068931634258,268.12253017596146,282.87190410547976,92.35566173629212,87.64440990505963,182.36057667009177,191.72691070157865
6,6,450.71884,485.27923583984375,527.021,443.5375,564.72327,434.56076,546.7698,421.99335,503.68152,455.2072,479.4443664550781,499.19315,466.87695,499.19315,461.4909,181.88724,198.97048950195312,207.06256,190.87843,279.8912,261.0097,348.22424,304.16742,364.4084,360.81192,362.61016845703125,451.62292,432.74142,529.84625,497.47797,164.668036889353,15.331975470107725,222.0908171851938,171.0587273098977,231.65880367345156,273.67712639898195,268.70289735357676,283.45851340092446,92.20103004047331,87.79889821198407,182.9460331649886,193.9712972024665
7,7,451.1373,485.285888671875,526.62366,443.94812,565.2655,434.96167,546.3939,422.38058,503.2588,454.7319,478.995361328125,499.6642,466.4143,499.6642,461.92105,181.98648,198.62615966796875,207.17085,190.08147,279.12616,261.13736,348.38318,303.41113,364.57312,360.07593,362.32452392578125,451.81897,432.9307,529.17096,497.6905,165.70008921483532,14.299910785164696,223.47920339816065,170.6344359586565,230.08425786326757,274.47086467577424,267.0645585427312,284.40465362507365,93.09406915631727,86.9059374653186,182.35933357566284,193.07894664778266
8,8,450.81207,485.40216064453125,528.07825,442.72607,565.813,435.5385,546.0472,422.06183,503.8203,454.40582,479.1130676269531,500.22653,466.0856,498.42963,462.49182,181.62383,198.6937255859375,206.77946,190.60799,279.55118,261.58286,348.72916,302.90997,364.00226,359.51016,361.7562255859375,452.04703,432.28183,533.8028,498.76462,164.46259817450684,15.53740182549316,223.35426557786278,167.72152420218615,231.86311444195044,274.9459484968347,267.14313763799356,284.3124654135654,92.98552037323371,87.01440943694702,181.0782906156919,192.21230492513476
9,9,450.97977,485.47943115234375,527.1479,443.811,564.7839,436.64224,546.862,424.0969,503.8494,453.66806,478.75872802734375,500.265,466.21338,500.265,461.7329,181.80513,198.4354248046875,206.9753,189.89554,279.78897,261.8103,348.10797,300.46448,364.28882,357.99628,361.1425476074219,452.38437,432.60785,528.7938,499.12897,165.84624292648672,14.15372868429546,222.0325556715736,167.7116477486463,231.08415381024653,275.889625837155,265.1825741772868,286.69189053928324,94.78207074349969,85.21792925650031,182.32995010185343,193.39783451975222
10,10,450.6906,483.84197998046875,525.0571,442.6268,565.37634,436.35492,545.66473,423.81116,503.5536,453.37857,478.466064453125,499.07367,465.02634,499.96964,462.3384,180.16931,199.51458740234375,207.16273,191.86646,280.94473,262.94913,349.32806,304.33902,365.52414,357.4261,361.47509765625,451.90308,433.90747,528.3844,497.7919,160.24715937322998,19.75286874331264,224.7347424317707,168.1822477824602,230.83238579633718,275.47021071212333,263.80062036381963,287.8275737251663,97.26717636202274,82.73288060244543,183.64007600731026,191.0686443901295
11,11,451.0625,483.7926025390625,524.59314,442.99207,565.8421,436.71506,546.1143,422.3676,503.072,453.75266,478.4123229980469,498.58844,465.40994,499.48514,460.9264,180.70872,198.6864013671875,206.77634,190.59645,281.38364,262.5071,349.69876,300.2602,364.97977,357.78873,361.3842468261719,451.27255,433.2949,528.57654,498.01447,162.43646003734617,17.56351934545817,225.0448330200893,164.18016674018293,229.84747744871652,276.22652409784484,264.6786719944413,287.0721122557933,96.40156182452525,83.59843817547475,183.6387919317463,192.739445264898
12,12,451.0102,483.836669921875,524.7574,442.916,566.12775,436.62048,545.44257,424.0295,503.17285,453.70825,478.4405517578125,498.6761,465.39987,500.4748,461.8025,180.3989,198.3892822265625,206.48495,190.29361,281.14508,262.25516,349.5085,303.63306,364.80035,357.6042,361.2022705078125,451.15417,432.26428,527.61334,497.02972,162.46604959860707,17.533942266244125,225.82611103849038,168.07513675589604,229.81769112473097,276.1910330456841,264.70352642351065,287.1775067012055,96.37912401052246,83.62087598947755,184.32857273602588,192.07933480237295
13,13,451.00204,483.72943115234375,524.52655,442.93228,565.7721,435.75916,546.04596,423.2062,503.90384,453.692,478.79791259765625,498.52402,465.34833,499.42065,460.86508,180.48965,198.92227172851562,207.46422,190.38033,281.1947,262.3125,349.53027,303.67352,364.81586,357.62262,361.21923828125,451.13446,433.1514,528.4616,498.7895,162.43659752263076,17.56341107417204,225.32467953076306,168.81188194090865,228.95138336054714,276.13078790183755,265.41376118630205,286.92582677392966,96.41215441626686,83.58784558373316,184.23068246484127,192.68061001538751
14,14,450.74124,483.51556396484375,525.26917,441.76196,565.67584,435.47647,545.02356,427.39517,502.82095,452.5371,477.67901611328125,499.22928,465.10806,499.22928,461.5164,181.36475,198.009765625,206.55722,189.46233,281.23483,260.54105,351.41382,301.92865,367.60898,359.5114,363.5601806640625,453.98312,430.59012,531.3599,498.0699,164.64473510870866,15.355284987765707,224.81512009792343,174.00501137065274,230.01372011874477,276.51573712101555,263.23291033060025,289.17777286454384,97.129084569489,82.87097230244511,182.38121750176356,193.07635117589805
15,15,451.89993,485.4743957519531,527.10675,443.84204,566.50073,436.6795,545.9084,425.04034,503.82843,452.79526,478.31182861328125,498.4565,465.3297,499.35187,460.85312,183.60884,200.68331909179688,208.77124,192.59541,280.66382,263.5893,349.86038,304.02887,365.13754,357.9483,361.54290771484375,451.40863,433.4355,528.6931,500.83478,164.03805107519486,15.96196916071968,225.29339726436442,169.70438275975422,230.2852738620448,275.2328455974359,265.54434738226325,287.4464792772208,95.46922355015164,84.53083417601307,184.2268438985277,193.2277628094189
16,16,452.31122,484.65655517578125,528.68207,440.631,566.4183,435.24014,546.6517,425.35684,505.3216,453.20972,479.2656555175781,499.9307,465.78845,499.9307,461.29605,183.15268,199.33084106445312,207.41992,191.24178,279.3228,261.3471,348.52933,303.59003,364.7075,358.416,361.5617370605469,451.88974,433.01523,528.28656,499.52542,163.83835366717116,16.161672601450757,223.6317488430837,171.22897660514943,231.89733984984065,276.0139594318758,266.6543280774885,286.4550815900216,94.98081528258366,85.01918471741634,183.5384564528388,193.43520931489053
17,17,451.88184,485.4498291015625,527.9693,442.93036,566.46063,435.76917,548.5577,424.1323,503.80035,452.77698,478.2886657714844,498.42944,465.30905,499.32462,460.8333,183.48958,200.57476806640625,208.66774,192.48178,280.60538,262.62097,348.0469,304.88434,365.13208,357.93835,361.53521728515625,451.45728,433.47284,528.7902,500.01514,163.8016797345711,16.19830042278012,223.01648540264895,170.43524032170225,231.07378245335786,274.94686448273956,265.53502438582115,287.4454129363853,95.47774781688304,84.52225218311696,184.2234561246994,193.26825217081873
18,18,451.2216,485.2730712890625,527.3894,443.15677,567.71344,436.8841,547.9995,425.23492,503.1949,453.01376,478.10430908203125,498.71442,465.55902,500.5066,461.0786,181.68848,201.00625610351562,207.74501,194.26749,282.32062,263.4521,350.6067,306.58014,364.9827,356.89618,360.939453125,451.2388,433.26877,527.6114,497.96085,159.5237468675701,20.47622641528157,224.50390935858096,170.0653582573894,232.5088488641404,273.9098896410498,263.81920579647954,288.48268279392664,96.58780345997657,83.41211766936408,184.3177946975156,193.29016341767613
19,19,451.726,485.3773498535156,528.0024,442.75232,566.5893,436.47073,547.7445,423.0102,502.87604,452.62335,477.74969482421875,498.3892,465.18652,500.18396,461.59705,184.44069,201.0870361328125,207.83556,194.33853,282.51913,263.62332,350.90414,306.8138,366.20074,357.20273,361.70172119140625,451.682,432.78613,528.16516,496.67212,162.67628550130289,17.32373450773147,222.73069662739726,167.87055892987584,233.67930722971772,273.8160826089322,262.8530771645761,289.5887070429729,97.43262110521495,82.56744632244909,184.3489813412659,192.65300239076234
