,frame,nariz_x,cuello_x,hombroI_x,hombroD_x,codoI_x,codoD_x,manoI_x,manoD_x,caderaI_x,caderaD_x,caderaM_x,rodillaI_x,rodillaD_x,tobilloI_x,tobilloD_x,nariz_y,cuello_y,hombroI_y,hombroD_y,codoI_y,codoD_y,manoI_y,manoD_y,caderaI_y,caderaD_y,caderaM_y,rodillaI_y,rodillaD_y,tobilloI_y,tobilloD_y,angCuelloI,angCuelloD,angCodoI,angCodoD,angHombroI,angHombroD,angCaderaI,angCaderaD,angCaderaTorsoI,angCaderaTorsoD,angRodillaI,angRodillaD
0,0,465.34897,495.8814697265625,541.6802,450.08273,559.6405,434.81647,535.3941,428.53036,511.1477,456.3688,483.75823974609375,507.55563,462.65494,503.96356,462.65494,182.99832,202.7926025390625,210.89027,194.69495,297.2654,264.87476,367.44522,322.45816,366.5455,358.4478,362.49664306640625,454.72012,438.52478,535.69684,507.80487,157.07141976767025,22.928605288639222,210.80585569509367,186.04237648180882,248.2268014553187,267.7544136608397,263.9239612046258,282.89739888892154,94.06784151033504,85.93221172869384,179.79441631493896,184.48856308714426
1,1,466.3203,496.90771484375,542.7888,451.0266,560.7814,435.73294,533.79254,428.5359,512.2014,456.4244,484.31292724609375,507.70325,462.7218,503.20514,462.7218,182.85944,203.99562072753906,212.54004,195.4512,297.98416,264.7059,369.0377,323.1677,366.33945,354.6471,360.4932861328125,455.38123,438.29242,536.3283,506.6477,155.9044808495707,24.095519150429325,212.69011364180344,185.4347355324878,247.5592498064999,268.0964280027236,261.0527107372432,286.144814432216,97.23807612636251,82.76187640543593,179.71127925236155,184.30552767776626
2,2,467.58777,497.694091796875,543.977,451.41122,561.9509,436.1334,534.99005,428.94382,513.4213,457.70212,485.56170654296875,507.13043,462.19562,504.43436,462.19562,184.88211,205.55560302734375,213.64523,197.46597,298.13687,266.67725,369.14584,323.30463,368.24698,360.15738,364.2021789550781,455.4352,438.3571,534.53375,506.6695,155.43766712572142,24.56232646673845,212.80043485727748,185.21222162970713,248.07609116185824,267.4664269745649,265.8661409963292,281.5494841053864,93.88762792102798,86.11236315495007,182.17483650580246,183.28873107640482
3,3,467.76126,497.8143005371094,544.01526,451.61334,561.9574,436.36255,535.04425,430.97992,513.5137,456.99597,485.25482177734375,507.23395,462.37866,504.5426,462.37866,184.85432,205.5328369140625,213.62442,197.44124,298.13654,267.56833,368.26364,345.78702,368.26364,360.17203,364.21783447265625,456.37204,438.39075,534.5907,506.71967,155.4033779216093,24.59660371848134,212.98170807784962,188.33267551429748,248.0799592829175,267.66470537965506,265.92908841493454,282.0842964798989,93.62227442267759,86.37772557732241,182.1060838216171,183.9366701418289
4,4,468.9958,498.19439697265625,545.3614,451.0274,564.22815,434.8559,539.07245,428.56696,513.9167,457.31635,485.61651611328125,508.52618,463.6053,504.03415,462.70688,186.86646,208.46188354492188,216.56018,200.36359,299.34268,268.74915,369.52786,324.53735,369.52786,360.52975,365.02880859375,455.9096,438.8132,535.0929,507.19876,153.25555658318237,26.744443416817624,212.55748502850014,186.87292748488235,247.41878861731865,266.43772035711174,264.53774046928777,283.62609529861646,94.44005247552182,85.55994752447818,180.323855240729,185.3456288845758
5,5,469.60434,498.822021484375,546.91876,450.72525,565.79785,434.54318,540.62573,427.35114,515.4536,457.9173,486.6854553222656,509.16055,463.3113,503.76654,462.41232,187.16388,208.27557373046875,216.81007,199.74106,299.46005,268.01712,369.53287,324.6144,368.63452,359.65082,364.1426696777344,454.878,437.80896,533.9345,506.08508,154.21150034643287,25.788488285210168,212.626579222144,186.09159482496793,247.07103977100405,266.7284889151581,265.2989027824197,282.8224454790013,94.42214742682368,85.57785257317632,180.2698011236375,184.70240264967902
6,6,473.41678,501.65863037109375,550.5215,452.79578,568.4528,434.86447,543.34894,425.8988,515.5554,458.17517,486.86529541015625,508.38287,458.17517,504.79663,460.86487,188.60635,209.7325439453125,219.1719,200.29318,300.97968,266.81818,371.10062,319.85837,370.20163,361.21176,365.7066955566406,456.5043,434.92865,534.7161,506.84753,154.13559613960237,25.86440386039764,212.0608619739485,185.49079772519525,246.7031721973812,265.8486229817494,265.8466380323005,278.9042502624392,93.48625148284191,86.5137485171581,182.1255088796166,177.85816696826706
7,7,475.7239,504.4117126464844,552.8224,456.00104,572.5453,437.17465,547.4435,423.72723,514.27313,456.89752,485.5853271484375,509.7907,436.27817,504.41174,457.79404,188.33823,211.72215270996094,224.31349,199.13081,302.55966,260.28873,372.7114,318.74854,368.2145,354.7238,361.4691467285156,458.15262,417.68045,537.29816,501.32294,155.3952029043356,24.604797095664416,213.83568662977632,184.15576895002457,241.27332950646854,267.46921486880166,259.621596008208,265.0971246919567,96.06590137365274,83.93409862634728,178.96542259499617,212.56025808530316
8,8,476.43954,505.15386962890625,551.8147,458.49307,573.3504,434.26535,550.91736,419.01083,513.2298,457.59576,485.41278076171875,507.84586,427.98407,506.0512,449.51984,191.11958,210.88504028320312,225.2599,196.51016,306.11853,263.89236,377.99286,325.88394,368.11014,351.03998,359.5750732421875,457.0546,420.219,535.2179,509.16345,162.5810496767429,17.418922667053316,212.2477496100184,185.9520677206029,237.96361371726243,267.3462051760907,256.4064466861313,263.8845065712987,99.49478316190773,80.50515938842199,182.1486768812813,216.7839377850123
9,9,476.4098,505.1690673828125,551.9029,458.43524,573.47235,435.06836,551.00415,418.89127,513.2576,458.43524,485.846435546875,507.86523,427.87854,506.06778,449.448,191.24551,210.58932495117188,225.43457,195.7441,306.4087,263.22247,378.38565,325.3026,368.4888,351.39426,359.9415283203125,456.66058,419.7724,534.9355,508.84387,163.6975065018374,16.30251049083242,212.25197066692544,184.4947512385323,237.4614756859811,268.52240456009935,256.1813688940323,263.2395308435567,99.94659122229537,80.05340877770463,182.18426216685705,217.6914650200319
10,10,471.61795,501.650390625,549.6127,453.6881,571.1284,429.48285,549.6127,415.13898,511.0635,449.20566,480.13458251953125,504.78812,425.0004,502.9951,414.2425,191.59906,214.53762817382812,226.6816,202.39368,309.44043,266.2619,383.2037,328.33102,376.0073,358.91577,367.4615478515625,457.86655,434.47818,537.0272,528.0316,156.8362432105259,23.163773919445813,210.83446052733768,187.74372196254564,241.21820803680345,263.45248105360474,258.9381423851791,267.6836074381684,97.43689356720186,82.56305390889395,183.08622962789227,191.2022975318083
11,11,460.10217,490.169677734375,537.2904,443.04898,561.5239,425.99576,539.0855,414.32776,504.97906,443.04898,474.0140380859375,501.38892,419.71298,504.0815,390.09424,193.31409,215.78424072265625,228.36754,203.20096,311.0577,266.11743,385.65866,321.8434,370.37894,358.69446,364.53668212890625,454.86673,441.38464,536.65814,538.45575,158.1799612801043,21.820046788885605,213.0741615184549,183.33953402345136,238.71444503697109,269.7861918882291,261.74866247759735,264.92488602976533,94.48608977165404,85.51397504285556,184.31869628248606,178.7911434881341
12,12,459.97427,490.553466796875,537.32166,443.78528,561.6051,425.79755,538.221,414.10547,504.9437,443.78528,474.364501953125,501.34613,419.5018,504.04428,390.7214,193.45901,215.94454956054688,228.53645,203.35265,310.38382,266.31216,385.93524,323.87512,369.74567,358.95258,364.34912109375,455.1907,441.69937,536.1386,537.9375,158.74118309833287,21.258816901667142,213.72313877263284,184.4631821041885,238.40578199161058,269.1242180310801,262.4025736780766,263.6531275293912,93.78278381079346,86.217225975463,184.31996669767167,179.70591072367392
13,13,439.20297,473.83160400390625,522.8514,424.81186,543.5386,410.42075,522.8514,396.92905,488.67242,429.30908,458.9907531738281,492.2702,411.3202,502.16412,387.9346,199.46628,220.601806640625,232.74348,208.46011,314.58743,270.5176,389.2363,346.06586,379.34308,364.05356,371.69830322265625,463.88516,447.69626,534.0372,541.23224,162.51383917438784,17.486135697250127,209.67466708551285,182.9307062204911,241.90323545125,270.8555029967498,253.12006284695605,272.30544972873145,98.8334680300074,81.16658721463521,174.40903072043733,178.1003927969924
14,14,422.31296,456.40570068359375,503.05896,409.75247,525.4884,389.1174,502.16177,378.35126,476.14362,411.54684,443.84521484375,482.42386,397.19202,502.16177,387.32306,200.07677,223.90621948242188,233.34807,214.46436,316.9759,276.51083,390.71225,341.25494,382.61923,368.23166,375.4254455566406,458.15405,450.96024,533.6889,541.78186,156.48918627818952,23.51078843281465,212.5685635953339,188.95460521936215,243.54511428871254,263.0454026535027,252.69068282795195,272.71269065551394,97.81765609156487,82.18233242051511,170.10840210953882,183.64217970557462
15,15,422.20706,456.3299560546875,503.02438,409.6355,525.4736,389.88016,502.12634,378.20657,476.08524,412.3294,444.20733642578125,482.37103,397.0639,502.12634,387.18625,199.74232,223.56080627441406,232.99832,214.12329,317.48654,276.14124,391.189,341.75443,382.2009,368.71875,375.4598388671875,457.701,451.4093,533.2011,542.1892,156.5104201671654,23.489587104135307,212.4571085684576,187.58069900743575,243.6936279804891,263.75736661016595,253.3006411530793,271.48057659234513,97.37720722274885,82.62275137683692,170.0960121463844,184.24971137186893
16,16,405.1552,440.6685791015625,486.97083,394.36636,510.3467,374.58673,481.57635,365.59604,463.59494,403.35706,433.47601318359375,479.77826,391.66913,503.15414,387.17377,201.62814,226.37583923339844,234.92505,217.82663,321.31702,280.82077,390.61057,346.51465,378.91165,372.61224,375.761962890625,458.1043,458.1043,533.69727,543.5964,155.59029225489536,24.409701002374206,217.68850071793213,189.6389082119274,244.39826049968497,263.02938263835796,252.48040051298307,268.1852117734804,93.21349147503997,86.7864571042266,174.3662190947197,184.77487095677287
17,17,396.68085,434.43768310546875,481.18423,387.6911,501.86057,371.5096,472.1945,357.12604,463.20477,398.47876,430.8417663574219,480.28522,387.6911,502.75952,385.89316,203.26901,227.548583984375,235.64177,219.45538,321.06992,281.50317,391.2109,347.14795,379.52075,379.52075,379.520751953125,456.8557,464.04962,532.39215,546.7801,157.07911437125998,22.920873758129837,216.53165791782874,182.25759107778632,246.57204404678782,265.2055672452219,257.54541735658535,262.727170089274,88.64453854745572,91.35546145254429,175.88529414726554,186.0278281788767
18,18,393.65445,430.38751220703125,476.97574,383.79926,500.26987,368.56845,471.60016,360.5051,460.84906,395.4463,428.1476745605469,479.66354,386.48703,502.0617,386.48703,203.69594,222.56436157226562,230.65082,214.47789,321.3988,286.3575,391.48145,354.64313,378.90253,378.90253,378.90252685546875,455.2746,461.5641,533.44366,546.0226,162.65899395060217,17.340994156400097,216.64514834107766,185.22918781960541,245.75665904240216,267.8832733132142,256.1605952004679,263.8141537036451,89.17918657768634,90.82081342231366,177.85042153374826,186.18586509589244
19,19,392.7485,430.422607421875,477.0668,383.77844,500.38885,367.6324,474.37576,360.45636,458.2297,395.43948,426.8345947265625,479.7578,386.46945,502.18286,386.46945,203.20879,223.893310546875,234.68521,213.1014,320.12122,285.9468,390.26865,355.19492,378.5774,376.77875,377.6780700683594,455.91946,461.31546,532.3622,545.85205,164.25862771038229,15.741346266263937,215.6149372481863,186.58111448278274,241.70447150557686,270.5296602362131,252.80469040505636,265.58392243584905,90.30425846785914,89.69574153214086,179.20499831032353,186.05685648284924
20,20,391.82455,428.58734130859375,474.31668,382.85803,502.11288,367.61493,477.90326,360.4417,459.07358,398.99777,429.0356750488281,480.59323,387.3413,503.00955,387.3413,203.49371,221.4617919921875,229.54741,213.37616,319.3878,280.75644,390.3617,354.42554,379.58084,375.9872,377.7840270996094,456.84357,459.5388,533.2079,543.09033,163.9796888534045,16.02028605211788,216.02664739097634,187.18577746962563,242.7810731276068,267.2799513104226,251.01286236897346,265.48105556292626,93.58757696517911,86.4124230348209,179.2045065367033,187.94217993906952
21,21,392.47614,429.2313232421875,475.8477,382.615,501.84525,365.5821,477.6406,360.20328,458.81476,398.7514,428.7830810546875,479.43356,387.09732,501.84525,386.20084,202.24272,223.3800506591797,233.72385,213.03625,319.1726,284.9931,390.22998,353.35208,378.537,377.6375,378.0872497558594,455.8906,460.38788,532.3447,545.8366,162.6082449842137,17.39174708341705,215.73290827553075,188.81832928504207,240.5669809729854,269.1934231769957,254.21671945386143,262.84148182761726,90.69195937668468,89.30804062331532,178.5872213602742,187.41539476914312
22,22,394.23816,428.79132080078125,475.9093,381.67337,504.6288,366.4161,481.29422,360.1337,461.54956,398.7256,430.1375732421875,478.60175,387.95575,501.03888,386.1608,203.95143,221.93417358398438,230.0264,213.84193,315.44446,282.17636,390.07285,355.00647,380.18234,374.7875,377.48492431640625,453.01248,457.50815,533.9348,543.8253,162.25099169691723,17.74898408914964,215.94710300790234,187.6559676920893,241.67104679067677,267.1589593874665,251.9142726372065,267.4901634994327,95.40394545976332,84.5960545402367,177.6807459743868,186.22661400448072
23,23,398.8333,434.22662353515625,481.2684,387.18488,509.94144,371.05627,484.8525,361.19992,462.4517,399.72937,431.09051513671875,480.37238,389.873,501.87714,385.39282,203.7828,224.90463256835938,230.74683,219.06242,314.3352,281.97845,389.83444,349.38843,380.84644,375.45364,378.1500244140625,458.14325,458.14325,534.54126,543.52924,156.2517299223731,23.74824722901035,217.31534016281765,186.0596432000306,243.98726386723564,262.7012082347437,252.03284824080822,268.1166784482217,93.74179154915758,86.25825903775538,177.332078477636,183.79396016931065
24,24,405.69305,442.52081298828125,491.02573,394.01593,514.37994,375.1529,489.22925,365.27228,465.87506,406.59128,436.233154296875,479.3486,391.3212,503.60107,386.83,202.47243,226.31674194335938,233.96492,218.66858,318.54474,284.35287,388.728,350.937,379.73013,376.13098,377.9305419921875,457.11166,459.81104,536.2928,546.1904,156.0392956073458,23.96071643347062,215.15144061110922,187.58211968678313,245.60354916338713,262.93765865717415,256.64855563838165,263.1325229850546,91.09943850867543,88.90061669505887,172.8478817026042,187.36524752025687
25,25,416.4236,451.91943359375,499.996,403.84283,522.4617,384.97165,497.30008,373.2895,473.9358,411.93048,442.9331359863281,484.7193,394.85654,500.89462,388.56616,201.49104,225.763427734375,233.85423,217.67264,318.3582,277.90417,388.47845,350.72137,384.88254,377.69073,381.28662109375,459.4977,460.3967,535.01184,544.90063,155.18809557366208,24.81192806239436,214.62766072441764,188.28195452952096,245.5592987319837,262.156438269353,255.16043270785826,264.9516034979028,93.30908957618973,86.69096607445688,176.1333529575421,187.40718488176074
26,26,421.08554,456.07470703125,504.52127,407.62817,527.84735,388.78787,504.52127,378.91913,480.29794,414.80545,447.55169677734375,488.3724,397.75943,501.8298,388.78787,201.16425,225.01071166992188,233.55945,216.46198,318.14688,278.55276,389.23633,347.84247,381.13754,373.93863,377.5380859375,463.0254,454.02673,534.1148,541.3137,155.73128745508217,24.26870636855878,213.58273740405406,188.77344128181676,244.57589020487222,263.1277815634351,258.0958644364699,264.2571672277113,93.0744715251794,86.9255284748206,174.91196486978205,186.14720622519016
27,27,421.28836,457.710205078125,506.72235,408.6981,531.0036,390.71198,510.31958,379.92032,481.54184,415.89255,448.7171936035156,488.73627,397.90643,502.22586,388.91336,201.24426,225.08204650878906,233.62767,216.53642,317.28476,277.70505,389.2479,351.46725,381.15204,372.15665,376.65435791015625,462.11053,455.81375,534.9732,541.27,156.68610806250518,23.313885900744015,212.22122115528205,188.0619951174899,243.9242593690882,263.5049905678515,257.1195497703753,265.668443445046,94.40670118913008,85.59324652379286,174.58948431830908,186.12634682746494
28,28,419.85876,458.01531982421875,506.94553,409.08514,531.18616,390.2313,509.63892,380.35547,481.80707,416.26755,449.03729248046875,488.9895,398.31152,502.4565,389.3335,201.26602,225.071533203125,233.60559,216.53749,317.14948,278.52164,389.9135,351.28568,380.9303,371.94708,376.4386901855469,461.7792,455.491,534.5433,540.83154,157.93395517863615,22.066056112794033,212.6756609615197,189.18911293432538,243.92607642712238,262.97529026404453,257.11865530710037,265.6746519711112,94.41024255227623,85.58975026904372,174.59110990333153,186.124461695254
29,29,407.12756,445.73834228515625,493.3284,398.14832,520.2661,384.67944,499.61386,372.10846,473.574,411.6172,442.5955810546875,486.145,391.86282,503.20554,388.27112,206.5769,223.21221923828125,231.75467,214.66975,318.97766,282.11023,391.81335,350.4499,381.9221,373.82922,377.87567138671875,461.05225,455.65698,534.7871,542.87994,166.86764316676485,13.13233264667222,212.99308717300687,180.87133588384054,242.66109582028878,268.88205869196287,253.53129224075138,263.8696224038779,96.2777805333398,83.72215672105806,175.99913974035132,191.2143186647475
