,frame,nariz_x,cuello_x,hombroI_x,hombroD_x,codoI_x,codoD_x,manoI_x,manoD_x,caderaI_x,caderaD_x,caderaM_x,rodillaI_x,rodillaD_x,tobilloI_x,tobilloD_x,nariz_y,cuello_y,hombroI_y,hombroD_y,codoI_y,codoD_y,manoI_y,manoD_y,caderaI_y,caderaD_y,caderaM_y,rodillaI_y,rodillaD_y,tobilloI_y,tobilloD_y,angCuelloI,angCuelloD,angCodoI,angCodoD,angHombroI,angHombroD,angCaderaI,angCaderaD,angCaderaTorsoI,angCaderaTorsoD,angRodillaI,angRodillaD
0,0,549.96747,524.89453125,573.2495,476.5395,566.0858,456.83932,541.0128,484.5987,547.2811,489.076,518.1785888671875,549.96747,473.85315,566.98126,475.64407,136.15144,166.70474243164062,165.80612,167.60338,232.3045,228.70999,278.13446,264.65506,305.99188,302.39737,304.19464111328125,409.33395,402.14496,491.10895,491.10895,49.5620368836124,130.4379798467241,157.46610444643872,235.54671332184745,277.2132643629015,251.0665252783245,264.9771116753092,264.85672972672364,90.73734735375831,89.2626001855228,169.73599287523302,189.8303993954979
1,1,552.33246,525.48583984375,573.8099,477.16174,564.8609,460.15884,565.7558,487.90042,549.6478,490.58508,520.116455078125,548.7529,476.26685,562.1763,470.00266,131.9089,165.61895751953125,164.27054,166.96736,228.99379,233.48846,283.82877,268.54688,307.20105,301.80743,304.5042419433594,417.76993,404.28592,482.49316,482.49316,49.86790460641252,130.13207529825212,188.8070731332899,232.6923362865641,279.4704518896504,254.06375948190498,265.24593327308315,267.26393985264383,93.00379901712978,86.99620098287022,192.1805172247375,183.37440896935345
2,2,552.39575,526.4356689453125,574.7751,478.09628,565.8233,459.2976,566.7185,488.83838,550.60535,491.5239,521.0646362304688,549.7102,477.2011,555.08124,453.92657,131.79391,165.0809783935547,164.18134,165.98062,227.15683,230.75546,280.2362,265.84177,307.22568,302.72745,304.9765625,416.983,407.08685,470.0624,470.0624,50.98365809861456,129.0163425743465,189.0564296795087,236.27912816692628,279.15643438650704,252.75023508268754,266.1133954291418,266.5391489770926,92.15519262049335,87.84481186006182,186.24528774167155,167.53138539607133
3,3,553.00726,526.5587158203125,574.5247,478.5927,567.35223,461.558,557.4901,491.14456,551.2141,492.04108,521.6275634765625,550.3176,477.6961,556.5935,475.90298,131.86467,165.10671997070312,163.30984,166.90358,231.59077,233.38765,275.614,268.42654,306.16074,304.36386,305.2622985839844,414.87122,405.88687,478.65997,478.65997,49.34762659530559,130.65235520348992,173.36962619292314,234.54875438221688,278.1419512034902,253.4833522774622,268.733147622907,263.69681405460074,89.72430293871385,90.27569347534977,186.09145822118452,186.63101584485884
4,4,553.17975,527.2374267578125,575.5438,478.9311,569.28186,461.9344,563.9145,490.56036,552.28516,493.24405,522.7645874023438,550.4961,478.9311,555.8634,476.24734,132.7508,163.34356689453125,162.44379,164.24336,229.02806,232.62723,276.71683,267.71893,304.61023,299.2115,301.9108581542969,406.28622,395.48874,483.6679,483.6679,48.635338996025475,131.36468044400044,178.95095625433407,233.16371496194336,276.4397155243894,254.97494183695204,265.7834394513042,266.76873642094904,93.37579805579846,86.62419657301615,184.975869763668,186.71265026581884
5,5,553.3772,527.7686767578125,576.73944,478.79797,571.34814,461.72562,564.1598,491.37762,552.4787,494.07324,523.2760009765625,549.7831,476.10233,554.27576,476.10233,133.16096,165.98336791992188,164.63449,167.33223,229.38004,230.27928,281.5362,268.04752,309.41272,302.2188,305.8157653808594,408.32956,400.23636,464.98193,464.98193,50.46033583648049,129.53964828975035,176.91281414562394,233.31020885926182,276.337767357493,253.247643930228,264.53913381664813,266.63241116422085,95.18164389123626,84.81837063828918,186.09518750447134,190.3894367186851
6,6,553.8455,528.6740112304688,577.2191,480.12888,571.8252,462.14923,563.7344,490.91672,552.04755,493.61368,522.8306274414062,549.3506,476.53296,551.14856,463.94724,133.57907,164.15570068359375,163.2564,165.05502,225.30898,232.5035,281.06635,266.67734,304.44852,299.9519,302.2001953125,403.37292,395.27905,463.6269,484.31107,49.47657072606231,130.5234466100428,176.7115148104053,235.0167999252812,276.02924195906013,254.01251840435026,267.16126455081974,264.2418708792934,91.9765272020075,88.02353687029316,183.27069937699596,182.11239491641018
7,7,555.5384,529.0311889648438,577.10345,480.95895,573.5092,462.08948,568.11804,489.94446,552.8427,494.43716,523.6399536132812,548.35,474.66916,549.24854,455.79968,135.47932,165.15274047851562,164.25354,166.05193,225.39871,230.79385,282.04794,266.7616,304.52777,298.23343,301.380615234375,399.84232,391.74957,457.39072,478.97137,47.15404679837789,132.84593570163835,177.92764365250443,234.00489373936546,274.43569483339365,252.6792925340364,266.54771427647495,264.2152126422191,93.88467142070112,86.11527576996899,183.59324823036064,179.72804053658476
8,8,555.85443,529.345703125,577.4208,481.27066,572.9278,462.40005,567.5362,489.35806,553.15857,494.74963,523.9541015625,548.6656,475.87906,547.767,483.06784,135.54527,166.1322021484375,165.23259,167.0318,228.20563,229.10524,283.08212,265.0898,301.07443,296.57635,298.82537841796875,393.73477,391.93555,453.1094,472.90088,48.01352569295413,131.98645680836088,178.46979674806335,233.74839281527483,275.15303786663134,252.01847938294975,268.3723334127113,263.2100223643076,92.07692367731478,87.92313584165454,181.9089509017922,196.26749751839805
9,9,557.60876,528.9540405273438,577.3089,480.5992,573.72705,463.5855,561.1906,488.65836,553.1315,495.82205,524.4767456054688,548.6542,477.01736,549.5496,483.28558,134.20538,165.656005859375,164.75742,166.5546,226.76004,231.253,277.08102,264.5008,300.44434,295.95142,298.1978759765625,392.99902,391.2018,455.00165,473.872,46.59866813929244,133.40133253245253,169.31697443003108,231.75416882292785,274.3708810797269,254.2019191178125,268.2868213622756,263.31475462107846,92.54795060083303,87.45204464451979,183.59689555137743,195.50389602956898
10,10,557.0868,529.69287109375,577.74457,481.6411,574.1519,462.7797,566.0684,492.41907,553.4942,496.90985,525.2020263671875,549.00336,478.04843,547.20703,480.74292,134.07399,166.00392150878906,163.75534,168.2525,228.51463,229.41406,281.5813,266.2909,299.56998,296.87167,298.2208251953125,390.41287,386.81516,450.675,470.4626,46.69322913240947,133.30676746943507,174.51420197327718,235.92928587763822,275.85454671600576,250.18172630945503,270.09996893791026,260.88667993335383,90.78481492086944,89.21518507913058,181.12291907172877,193.68850005007127
