,frame,nariz_x,cuello_x,hombroI_x,hombroD_x,codoI_x,codoD_x,manoI_x,manoD_x,caderaI_x,caderaD_x,caderaM_x,rodillaI_x,rodillaD_x,tobilloI_x,tobilloD_x,nariz_y,cuello_y,hombroI_y,hombroD_y,codoI_y,codoD_y,manoI_y,manoD_y,caderaI_y,caderaD_y,caderaM_y,rodillaI_y,rodillaD_y,tobilloI_y,tobilloD_y,angCuelloI,angCuelloD,angCodoI,angCodoD,angHombroI,angHombroD,angCaderaI,angCaderaD,angCaderaTorsoI,angCaderaTorsoD,angRodillaI,angRodillaD
0,0,856.6879,844.28271484375,881.4984,807.067,897.7206,784.1651,888.1781,813.74677,868.139,816.6095,842.374267578125,868.139,821.38074,866.2304,827.10626,221.1496,235.99444580078125,236.4733,235.51558,292.0217,294.8949,314.0495,307.34543,345.65466,345.65466,345.6546630859375,416.52673,418.44223,488.35657,489.3143,50.85310141266316,129.14687509941285,219.70208146638691,268.2654709557971,252.98308300852398,249.64615150669817,270.0,273.75038484746284,89.0029662615857,90.99703373841432,178.47800663544572,179.131819663556
1,1,856.5396,844.5755615234375,882.38184,806.7693,897.69574,783.79834,888.1245,814.4262,868.025,816.3405,842.1827392578125,868.025,821.1261,866.1108,826.8688,221.28748,236.14720153808594,236.62654,235.66786,293.18936,295.10675,314.28058,307.56973,345.9174,344.9587,345.43804931640625,415.9019,418.77795,487.8038,488.76245,51.88772909587247,128.11227090412754,219.5577868899812,268.98746976239164,254.12442865919115,249.5967195552915,268.93736228073317,274.771843541737,89.80839987659553,90.19159761420144,178.47478278615748,179.0184112025771
2,2,856.1447,844.6719970703125,882.9145,806.42944,898.2114,782.5279,887.69476,814.07794,868.57355,816.94617,842.7598876953125,867.61743,822.6825,866.6614,827.4628,220.72502,235.6005096435547,236.08037,235.12065,291.7435,295.5823,315.73624,308.05853,344.5275,343.56778,344.0476379394531,412.6668,417.46536,483.68527,486.56442,53.07769866693018,126.92230248031,219.03541402225864,269.993816174323,253.91482918667722,249.14914070352526,269.73894191961307,275.50367030396603,90.05484849921699,89.9451540182603,180.01978887925836,180.48092227088262
3,3,856.18134,844.66015625,883.06396,806.25635,898.4255,784.17413,887.86444,813.9371,867.70245,816.8174,842.2598876953125,867.70245,821.6179,865.7822,827.3785,221.47673,235.8582305908203,235.85823,235.85823,292.4255,294.34305,314.47717,307.7658,345.1577,344.19894,344.6783447265625,415.14777,418.02405,488.0141,488.97287,51.30139557103872,128.6986044289613,220.78375120448516,266.4102686338166,254.80705461400197,249.3148809362889,268.9206027704808,274.79993504374147,89.81581684715519,90.1841118637367,178.4903965986001,179.07846222575986
4,4,856.12036,845.1461791992188,882.84,807.45233,897.1542,783.59546,887.61145,815.0865,867.57166,816.9951,842.2833862304688,867.57166,822.7207,866.6174,827.49207,221.75566,236.1492156982422,236.14922,236.14922,290.84473,295.6426,315.79358,307.15744,344.5807,343.6211,344.10089111328125,412.71017,417.50806,484.678,485.63754,52.676753389015865,127.32324661098413,215.59716509596592,271.76564237710517,255.33426007846714,248.14919556872547,268.9130507133853,275.5180106158844,89.56786661474915,90.43213338525086,179.24050163362926,180.4247507951484
5,5,855.6444,845.5675048828125,883.4758,807.6592,897.87146,783.66656,887.3147,815.33685,868.1206,817.2562,842.6884155273438,867.1609,823.01447,867.1609,827.813,221.13866,236.49725341796875,236.49725,236.49725,291.21234,296.01187,316.17004,307.53085,344.96747,344.00754,344.48748779296875,412.16138,417.92084,483.19498,486.0747,56.730783434993945,123.26921656500608,217.66822871647554,271.969120542669,255.25945134957394,248.04375353569074,269.7370760843038,275.53579225244675,89.55403136709558,90.44603736099617,180.81804674793608,180.42749653119478
6,6,855.60535,845.5316162109375,883.42816,807.635,897.8193,783.64984,887.2658,815.3103,868.0777,817.2291,842.6534423828125,867.1183,822.98553,867.1183,827.78253,221.82213,236.18634033203125,236.18634,236.18634,291.72797,295.55844,315.6683,307.0498,344.39676,343.43915,343.91796875,412.38736,417.1754,483.25082,486.1237,54.95773043551643,125.04226956448358,218.31519789503747,272.04906107671485,255.4738262038095,248.00225501788043,269.7295757706563,275.542821327286,89.548509849038,90.45142399086738,180.8084298415847,180.4841597805492
7,7,855.6889,844.2386474609375,881.45197,807.0253,897.67316,784.1248,888.1313,813.70465,868.0934,816.5672,842.330322265625,868.0934,821.33813,866.18494,827.06323,219.91661,236.68438720703125,237.16347,236.2053,290.82037,294.653,314.77435,308.06723,345.43542,344.47726,344.95635986328125,413.46472,418.25552,487.243,488.20114,56.40947777571864,123.59052222428137,218.54021164705438,267.0019337706689,252.44166117052396,249.34173698864117,268.93470594603366,274.7652888670716,90.05554372826283,89.94439094896451,178.51840037419717,179.02061052348986
8,8,856.14636,845.1727294921875,882.8648,807.48065,897.1782,783.6249,887.636,814.1603,867.5971,817.02295,842.31005859375,867.5971,822.74835,866.64294,827.5195,221.53476,236.40292358398438,236.88254,235.92331,290.5998,295.39597,316.49918,307.86603,345.27628,344.31702,344.796630859375,412.42282,418.17825,484.36557,486.28406,54.29938290953826,125.70061709046176,215.1458398559898,269.64264882833595,254.35069994028174,248.87223007252794,268.91334386633275,275.5190410219809,89.57382990865622,90.42624183572148,179.23972299206386,180.4256660404972
9,9,855.52606,844.0179443359375,881.41925,806.61664,897.7224,783.60046,888.1323,814.28876,867.99316,817.1657,842.5794677734375,867.99316,821.96075,866.07513,827.7148,220.00308,236.76031494140625,237.23909,236.28152,292.7773,294.69244,314.80112,308.09824,345.4429,344.48535,344.964111328125,415.3445,418.2172,486.20367,488.11877,56.2538668551711,123.74610977342667,219.88984336667056,267.9088667792307,252.90707333288012,249.227058591388,268.9206836648864,274.80015286438953,90.31766301212917,89.68240835743268,178.4494701050934,179.01464093815528
