,frame,nariz_x,cuello_x,hombroI_x,hombroD_x,codoI_x,codoD_x,manoI_x,manoD_x,caderaI_x,caderaD_x,caderaM_x,rodillaI_x,rodillaD_x,tobilloI_x,tobilloD_x,nariz_y,cuello_y,hombroI_y,hombroD_y,codoI_y,codoD_y,manoI_y,manoD_y,caderaI_y,caderaD_y,caderaM_y,rodillaI_y,rodillaD_y,tobilloI_y,tobilloD_y,angCuelloI,angCuelloD,angCodoI,angCodoD,angHombroI,angHombroD,angCaderaI,angCaderaD,angCaderaTorsoI,angCaderaTorsoD,angRodillaI,angRodillaD
0,0,564.3784,567.5233154296875,625.48035,509.56635,633.5674,491.59518,637.1616,486.2038,601.2193,523.9433,562.581298828125,595.82794,523.0447,593.13226,503.27643,1.3477535,38.18635177612305,38.18635,38.18635,137.0216,134.3261,225.97334,227.77036,226.87184,225.97334,226.42259216308594,344.57565,349.06815,464.07645,467.67044,94.879488521949,85.12051147805101,182.36388248165005,187.28585340134464,265.32228527481163,259.4120360457683,271.95641249264725,270.247890726308,89.16223888339645,90.83776111660356,181.33031093568704,170.9554138685121
1,1,564.3776,567.9637451171875,627.1338,508.79364,638.7885,491.75983,650.44324,484.58765,603.82434,526.724,565.274169921875,595.7557,522.24133,593.06616,503.41455,1.3480582,37.74563217163086,37.29628,38.194984,134.35648,134.35648,228.72055,226.92316,226.92316,226.92316,226.92315673828125,344.65356,350.0458,464.18143,467.77625,95.19187356195206,84.8081259892402,179.80516703269254,185.61454709257754,263.5879723102861,259.51985269018496,273.9206407378861,267.9148885684841,89.18546917128171,90.81453082871829,182.63165321787125,172.99963484558356
2,2,566.89264,568.68798828125,627.03766,510.33838,640.5029,490.58926,656.6613,485.20312,603.6978,524.70135,564.1995849609375,594.72095,522.906,592.9256,501.3615,1.3494791,36.885765075683594,36.435936,37.33559,137.19704,132.69878,230.76093,225.363,223.5637,224.46335,224.01351928710938,344.11716,345.01685,464.67062,472.76752,92.45051824392462,87.549478472503,177.8134019084468,188.37362932856087,262.8300365508918,257.8581070637688,274.91106965519555,268.49429287517796,87.9735123188471,92.02650981254564,183.4054180281853,171.2806401560314
3,3,567.6329,568.9818725585938,626.98846,510.97528,640.47845,490.29074,655.76697,483.99545,602.70667,525.3645,564.0355834960938,593.7134,521.76715,592.814,502.88132,1.3490409,36.87378692626953,36.424107,37.323463,136.25313,135.35378,228.88727,227.08855,221.69238,222.59175,222.14205932617188,343.10608,346.70352,462.721,468.11722,91.73051547526092,88.26948075701351,178.32414979420201,187.98898039526244,262.7483452698408,257.64111903723114,274.9024631152906,267.6735183868333,87.80446268405514,92.19555992058837,183.80544854749462,172.81878509673996
4,4,655.11993,569.9277954101562,628.21716,511.63843,640.7718,491.01294,642.5653,482.94208,603.10785,525.08984,564.098876953125,594.14026,522.39954,593.2435,502.67084,1.3494834,37.3357048034668,37.335705,37.335705,134.4985,133.59886,227.16304,227.16304,225.36372,224.46407,224.9138946533203,344.11826,346.81723,463.77246,470.9697,22.89980203422848,157.1001979657715,186.25375717624237,187.1632788264996,262.6374754670613,257.9065693475459,273.65774592794287,269.40105215456515,88.88080174004087,91.11919929358365,183.88907738369224,172.23039162050003
5,5,655.3471,569.1519775390625,626.6154,511.6885,640.0834,491.03754,642.7769,483.8546,603.2709,525.1565,564.2136840820312,595.19,523.3607,592.49646,502.7098,1.348859,37.31843185424805,37.31843,37.31843,134.43628,133.53703,221.66249,227.05792,225.25945,224.3602,224.809814453125,343.05978,347.556,463.5579,471.65103,22.650972919484712,157.3490270805153,186.12649709162667,187.72133260244632,262.10477980713426,257.88662670185767,273.2646639996219,269.8244251533549,89.15081442770051,90.84920795354017,182.64367435081047,171.38699986178685
6,6,658.72266,568.2322387695312,624.6768,511.7877,637.22003,489.38904,634.53217,484.01337,596.90247,523.43494,560.168701171875,593.31866,522.539,593.31866,502.82822,1.3488107,38.21630096435547,38.2163,38.2163,141.62512,133.53226,231.54584,222.55377,227.949,222.55377,225.2513885498047,344.84592,345.74515,460.84366,468.93652,22.166901840262902,157.83309815973712,188.62819047892725,189.7685315419959,263.0839617840616,256.77578944825586,267.55592283491956,273.7834009666328,91.73145752281724,88.26854247718276,181.7560229662756,171.3263341215788
7,7,562.33234,566.8222045898438,624.29193,509.35245,635.0675,488.69928,634.16956,481.51556,597.353,521.026,559.1895141601562,593.7611,520.12805,593.7611,503.0667,1.3481292,38.64636993408203,38.196995,39.09575,141.55356,132.56604,230.5301,226.93509,226.93509,226.93509,226.93508911132812,345.57047,349.16547,464.2058,466.90207,96.41608747139034,83.58391609363593,186.5301476111961,188.10670553579678,264.49606247692043,257.09213467016133,271.7342123576675,269.57909172959137,87.67866263294556,92.32133736705444,181.73426198357996,172.17554520146481
8,8,657.57336,565.8818359375,623.41376,508.3499,633.3021,487.67435,632.40314,481.3818,597.34467,520.0361,558.6903686523438,593.74884,520.0361,593.74884,502.95627,1.3494707,38.23500442504883,37.335358,39.13465,141.69443,133.59761,229.85985,227.1609,220.86339,221.76303,221.31320190429688,345.0147,348.61325,463.7681,467.36667,21.01798336226789,158.98201663773213,185.9969830445849,188.4983076016703,265.4830768878164,256.75820395055086,272.3257195915592,269.333265697535,87.08381785974277,92.91620475471171,181.6590616008181,188.1844877300649
9,9,654.2857,565.6795043945312,622.8013,508.55777,634.4954,487.86804,633.5959,481.5711,595.81464,519.3524,557.58349609375,593.1159,520.25195,593.1159,503.16046,1.3494337,38.68376159667969,38.23395,39.133575,141.69054,132.6943,228.9539,227.15466,226.25505,226.25505,226.2550506591797,344.1056,348.60367,463.75537,466.45422,22.397011584894365,157.60299248221912,187.03962508176568,188.6556888205257,264.00215016632393,257.0792895995035,271.3118212756739,270.42124458626614,87.5285163769371,92.4714836230629,181.3119377268197,188.6731194632876
10,10,560.389,565.33056640625,623.2825,507.3787,634.0642,487.61218,634.0642,481.3228,596.3281,519.05896,557.6935424804688,592.7342,519.9574,592.7342,502.88632,1.3498477,38.69563293457031,38.24568,39.14558,141.734,133.6349,228.12424,227.22433,228.12424,228.12424,228.12423706054688,344.21112,348.71063,463.89764,467.4972,97.09273483238127,82.90726163058483,185.94781934293914,187.97088039396192,264.49705103795714,257.73966544036784,271.77325333024567,270.4268783659783,87.69130750552698,92.30869249447301,181.77320772222737,188.60498149612755
